case_id,timestamp,decline_code,amount,tree_model_score,routing_rationale,tree_model_top_features,routed_to_llm,llm_recommended_action,llm_confidence,llm_reasoning_summary,llm_schema_valid,guardrail_flags,proposed_action,final_action,guardrail_overrode,override_rule,requires_human_review,model_version,pipeline_version,baseline_final_action,baseline_guardrail_overrode,baseline_override_rule,pipeline_retried,baseline_retried
case_0010,2026-09-04T11:37:03.825722+00:00,lost_card,527.8,0.26457203609567564,"score=0.2646 vs band=[0.3793, 0.4681] (in_band=False); decline_code='lost_card' (is_ambiguous=False) -> NOT routed (template_action=no_retry_prompt_update)","[{""feature"": ""decline_code_bucket"", ""value"": ""CLEAR_HARD"", ""shap_value"": -0.9821377663885883}, {""feature"": ""issuer_bank_risk_tier"", ""value"": ""medium_risk"", ""shap_value"": 0.2655573382885513}, {""feature"": ""customer_tenure_days"", ""value"": 1749, ""shap_value"": 0.22784607795005257}, {""feature"": ""ltv_tier"", ""value"": ""low"", ""shap_value"": -0.20123535105966833}, {""feature"": ""day_of_week"", ""value"": ""thu"", ""shap_value"": -0.1750338202098383}]",False,,,,,hard_decline_excluded;requires_human_review_floor,no_retry_prompt_update,no_retry_prompt_update,False,,True,logreg_v1_2026-09-02,phase7_v1,no_retry_prompt_update,True,hard_decline_excluded,False,False
case_0011,2026-09-04T11:37:06.147046+00:00,insufficient_funds,1257.57,0.44355386162708954,"score=0.4436 vs band=[0.3793, 0.4681] (in_band=True); decline_code='insufficient_funds' (is_ambiguous=False) -> ROUTED to LLM (trigger: probability_band)","[{""feature"": ""decline_code_bucket"", ""value"": ""CLEAR_SOFT"", ""shap_value"": 0.3970062137823236}, {""feature"": ""payment_rail"", ""value"": ""emandate"", ""shap_value"": -0.14636252025225663}, {""feature"": ""ltv_tier"", ""value"": ""high"", ""shap_value"": -0.12749525137163875}, {""feature"": ""issuer_bank_risk_tier"", ""value"": ""low_risk"", ""shap_value"": -0.11957637862912443}, {""feature"": ""prior_retry_success_count"", ""value"": 0, ""shap_value"": 0.1034309920825466}]",True,prompt_alt_payment,0.65,"The features provided in shap_top_features are: decline_code_bucket, payment_rail, ltv_tier, issuer_bank_risk_tier, and prior_retry_success_count. The feature decline_code_bucket has a positive shap_value (0.397), indicating a soft decline which is generally recoverable. However, this is offset by the negative shap_values for payment_rail (-0.146), ltv_tier (-0.127), and issuer_bank_risk_tier (-0.119). While prior_retry_success_count has a positive shap_value (0.103), the cumulative weight of the negative factors suggests that an automatic retry is risky given the current context. The customer's amount_vs_historical_avg (1.647) is unranked context, not a SHAP-attributed driver. Given the 'insufficient_funds' decline (which is unranked context, not a SHAP-attributed driver) combined with the negative pressure from the payment rail and ltv_tier, shifting to an alternative payment method is the most prudent strategy to avoid further failures.",True,,prompt_alt_payment,prompt_alt_payment,False,,False,gemini:gemini-3.1-flash-lite,phase7_v1,retry_now,False,,True,True
case_0012,2026-09-04T11:37:08.315657+00:00,05_do_not_honor,454.76,0.3996520118399121,"score=0.3997 vs band=[0.3793, 0.4681] (in_band=True); decline_code='05_do_not_honor' (is_ambiguous=True) -> ROUTED to LLM (trigger: probability_band+ambiguous_code)","[{""feature"": ""issuer_bank_risk_tier"", ""value"": ""high_risk"", ""shap_value"": -0.25847687587349405}, {""feature"": ""day_of_week"", ""value"": ""mon"", ""shap_value"": 0.21919438607451347}, {""feature"": ""ltv_tier"", ""value"": ""low"", ""shap_value"": -0.20123535105966833}, {""feature"": ""customer_tenure_days"", ""value"": 1483, ""shap_value"": 0.15780932248589885}, {""feature"": ""amount"", ""value"": 454.76, ""shap_value"": 0.15619290438267625}]",True,escalate_human,0.75,"I considered the following SHAP features: issuer_bank_risk_tier, day_of_week, ltv_tier, customer_tenure_days, and amount. The negative SHAP value for issuer_bank_risk_tier (-0.258) indicates high risk, which significantly discourages recovery. The negative SHAP value for ltv_tier (-0.201) also strongly discourages recovery given the customer's low LTV status. While the positive SHAP values for day_of_week (0.219), customer_tenure_days (0.158), and amount (0.156) provide some counter-support for recovery, they do not sufficiently outweigh the combined negative impact of the issuer risk and customer LTV. Given the ambiguity of the '05_do_not_honor' decline code combined with high-risk issuer status and low LTV tier, I lack sufficient data to confidently schedule a retry without further analysis. Case facts such as 'hours_since_last_attempt' and 'historical_ptp_honor_rate' are unranked context, not a SHAP-attributed driver.",True,,escalate_human,escalate_human,False,,True,gemini:gemini-3.1-flash-lite,phase7_v1,retry_now,False,,False,True
case_0013,2026-09-04T11:37:10.128070+00:00,05_do_not_honor,1260.55,0.5758708875854928,"score=0.5759 vs band=[0.3793, 0.4681] (in_band=False); decline_code='05_do_not_honor' (is_ambiguous=True) -> ROUTED to LLM (trigger: ambiguous_code)","[{""feature"": ""historical_ptp_honor_rate"", ""value"": 0.6741673850093838, ""shap_value"": 0.2664016144534096}, {""feature"": ""day_of_week"", ""value"": ""mon"", ""shap_value"": 0.21919438607451347}, {""feature"": ""ltv_tier"", ""value"": ""low"", ""shap_value"": -0.20123535105966833}, {""feature"": ""customer_tenure_days"", ""value"": 1469, ""shap_value"": 0.1541231774614697}, {""feature"": ""payment_rail"", ""value"": ""card"", ""shap_value"": 0.12216766515157171}]",True,retry_scheduled,0.75,"The SHAP features identified are: historical_ptp_honor_rate (positive SHAP value 0.266), day_of_week (positive SHAP value 0.219), ltv_tier (negative SHAP value -0.201), customer_tenure_days (positive SHAP value 0.154), and payment_rail (positive SHAP value 0.122). The positive influence of the customer's historical payment honor rate, tenure, and the current day of the week suggests that a future retry is likely to be successful, outweighing the negative influence attributed to the 'low' LTV tier. The '05_do_not_honor' decline code is transient, supporting a scheduled retry over immediate intervention. Unranked context includes amount and issuer_bank_risk_tier, which are not SHAP-attributed drivers here.",True,,retry_scheduled,retry_scheduled,False,,False,gemini:gemini-3.1-flash-lite,phase7_v1,retry_now,False,,True,True
case_0014,2026-09-04T11:37:10.128626+00:00,expired_card_soft,1283.89,0.6607648587423607,"score=0.6608 vs band=[0.3793, 0.4681] (in_band=False); decline_code='expired_card_soft' (is_ambiguous=False) -> NOT routed (template_action=retry_now)","[{""feature"": ""historical_ptp_honor_rate"", ""value"": 0.8482644998311911, ""shap_value"": 0.5333640795097815}, {""feature"": ""decline_code_bucket"", ""value"": ""CLEAR_SOFT"", ""shap_value"": 0.3970062137823236}, {""feature"": ""issuer_bank_risk_tier"", ""value"": ""medium_risk"", ""shap_value"": 0.2655573382885513}, {""feature"": ""day_of_week"", ""value"": ""mon"", ""shap_value"": 0.21919438607451347}, {""feature"": ""customer_tenure_days"", ""value"": 76, ""shap_value"": -0.2126482524692302}]",False,,,,,,retry_now,retry_now,False,,False,logreg_v1_2026-09-02,phase7_v1,retry_now,False,,True,True
case_0015,2026-09-04T11:37:10.128918+00:00,generic_decline,382.21,0.5828732389928235,"score=0.5829 vs band=[0.3793, 0.4681] (in_band=False); decline_code='generic_decline' (is_ambiguous=False) -> NOT routed (template_action=retry_now)","[{""feature"": ""historical_ptp_honor_rate"", ""value"": 0.9704867351584432, ""shap_value"": 0.7207810235588517}, {""feature"": ""prior_retry_success_count"", ""value"": 2, ""shap_value"": -0.33871676033139303}, {""feature"": ""ltv_tier"", ""value"": ""medium"", ""shap_value"": 0.27984421786915337}, {""feature"": ""retry_attempt_number"", ""value"": 5, ""shap_value"": -0.25870134593777805}, {""feature"": ""amount"", ""value"": 382.21, ""shap_value"": 0.17060266580651914}]",False,,,,,npci_retry_cap_reached;network_retry_cap_exceeded,retry_now,no_retry_prompt_update,True,npci_retry_cap_reached,False,logreg_v1_2026-09-02,phase7_v1,no_retry_prompt_update,True,npci_retry_cap_reached,False,False
case_0016,2026-09-04T11:37:12.339747+00:00,insufficient_funds,1985.75,0.4670924513765688,"score=0.4671 vs band=[0.3793, 0.4681] (in_band=True); decline_code='insufficient_funds' (is_ambiguous=False) -> ROUTED to LLM (trigger: probability_band)","[{""feature"": ""decline_code_bucket"", ""value"": ""CLEAR_SOFT"", ""shap_value"": 0.3970062137823236}, {""feature"": ""customer_tenure_days"", ""value"": 1675, ""shap_value"": 0.2083621685352128}, {""feature"": ""ltv_tier"", ""value"": ""low"", ""shap_value"": -0.20123535105966833}, {""feature"": ""amount"", ""value"": 1985.75, ""shap_value"": -0.14788980605549468}, {""feature"": ""hours_since_last_attempt"", ""value"": 68.32, ""shap_value"": 0.12335081455757954}]",True,retry_scheduled,0.75,"Features used for reasoning: decline_code_bucket, customer_tenure_days, ltv_tier, amount, hours_since_last_attempt. The decline_code_bucket of CLEAR_SOFT (positive shap_value of 0.397) and the customer_tenure_days of 1675 (positive shap_value of 0.208) strongly support a recovery attempt. The hours_since_last_attempt of 68.32 also provides a positive shap_value of 0.123, suggesting sufficient time has passed to allow for account funding. Conversely, the ltv_tier of 'low' (negative shap_value of -0.201) and the amount of 1985.75 (negative shap_value of -0.148) are headwinds for recovery. Given the soft nature of the decline and the significant tenure of the customer, a scheduled retry is the most balanced approach. I note that historical_ptp_honor_rate and amount_vs_historical_avg are unranked context, not a SHAP-attributed driver. I am confident in this direction given the clear soft-decline classification.",True,,retry_scheduled,retry_scheduled,False,,False,gemini:gemini-3.1-flash-lite,phase7_v1,retry_now,False,,True,True
case_0017,2026-09-04T11:37:12.340363+00:00,51_insufficient_funds,733.12,0.6223231223623693,"score=0.6223 vs band=[0.3793, 0.4681] (in_band=False); decline_code='51_insufficient_funds' (is_ambiguous=False) -> NOT routed (template_action=retry_now)","[{""feature"": ""decline_code_bucket"", ""value"": ""CLEAR_SOFT"", ""shap_value"": 0.3970062137823236}, {""feature"": ""historical_ptp_honor_rate"", ""value"": 0.2712183792071997, ""shap_value"": -0.35148490245451386}, {""feature"": ""issuer_bank_risk_tier"", ""value"": ""medium_risk"", ""shap_value"": 0.2655573382885513}, {""feature"": ""day_of_week"", ""value"": ""mon"", ""shap_value"": 0.21919438607451347}, {""feature"": ""customer_tenure_days"", ""value"": 1683, ""shap_value"": 0.21046853712060093}]",False,,,,,,retry_now,retry_now,False,,False,logreg_v1_2026-09-02,phase7_v1,retry_now,False,,True,True
case_0018,2026-09-04T11:37:12.340706+00:00,51_insufficient_funds,1261.08,0.2506656816918177,"score=0.2507 vs band=[0.3793, 0.4681] (in_band=False); decline_code='51_insufficient_funds' (is_ambiguous=False) -> NOT routed (template_action=retry_scheduled)","[{""feature"": ""historical_ptp_honor_rate"", ""value"": 0.1247874337012676, ""shap_value"": -0.5760237537319177}, {""feature"": ""decline_code_bucket"", ""value"": ""CLEAR_SOFT"", ""shap_value"": 0.3970062137823236}, {""feature"": ""ltv_tier"", ""value"": ""low"", ""shap_value"": -0.20123535105966833}, {""feature"": ""issuer_bank_risk_tier"", ""value"": ""low_risk"", ""shap_value"": -0.11957637862912443}, {""feature"": ""prior_retry_success_count"", ""value"": 1, ""shap_value"": -0.11764288412442325}]",False,,,,,requires_human_review_floor,retry_scheduled,retry_scheduled,False,,True,logreg_v1_2026-09-02,phase7_v1,retry_now,False,,True,True
case_0019,2026-09-04T11:37:12.341071+00:00,insufficient_funds,4431.94,0.3178804885543194,"score=0.3179 vs band=[0.3793, 0.4681] (in_band=False); decline_code='insufficient_funds' (is_ambiguous=False) -> NOT routed (template_action=retry_scheduled)","[{""feature"": ""amount"", ""value"": 4431.94, ""shap_value"": -0.6337480320705237}, {""feature"": ""decline_code_bucket"", ""value"": ""CLEAR_SOFT"", ""shap_value"": 0.3970062137823236}, {""feature"": ""payment_rail"", ""value"": ""emandate"", ""shap_value"": -0.14636252025225663}, {""feature"": ""ltv_tier"", ""value"": ""high"", ""shap_value"": -0.12749525137163875}, {""feature"": ""issuer_bank_risk_tier"", ""value"": ""low_risk"", ""shap_value"": -0.11957637862912443}]",False,,,,,requires_human_review_floor,retry_scheduled,retry_scheduled,False,,True,logreg_v1_2026-09-02,phase7_v1,retry_now,False,,True,True
case_0020,2026-09-04T11:37:12.341358+00:00,invalid_account,736.99,0.22016269296673355,"score=0.2202 vs band=[0.3793, 0.4681] (in_band=False); decline_code='invalid_account' (is_ambiguous=False) -> NOT routed (template_action=no_retry_prompt_update)","[{""feature"": ""decline_code_bucket"", ""value"": ""CLEAR_HARD"", ""shap_value"": -0.9821377663885883}, {""feature"": ""issuer_bank_risk_tier"", ""value"": ""high_risk"", ""shap_value"": -0.25847687587349405}, {""feature"": ""day_of_week"", ""value"": ""mon"", ""shap_value"": 0.21919438607451347}, {""feature"": ""ltv_tier"", ""value"": ""low"", ""shap_value"": -0.20123535105966833}, {""feature"": ""historical_ptp_honor_rate"", ""value"": 0.593135198066783, ""shap_value"": 0.14214595176051037}]",False,,,,,hard_decline_excluded;requires_human_review_floor,no_retry_prompt_update,no_retry_prompt_update,False,,True,logreg_v1_2026-09-02,phase7_v1,no_retry_prompt_update,True,hard_decline_excluded,False,False
case_0021,2026-09-04T11:37:12.341695+00:00,51_insufficient_funds,1719.28,0.6134409506045254,"score=0.6134 vs band=[0.3793, 0.4681] (in_band=False); decline_code='51_insufficient_funds' (is_ambiguous=False) -> NOT routed (template_action=retry_now)","[{""feature"": ""historical_ptp_honor_rate"", ""value"": 0.8588973822350682, ""shap_value"": 0.5496686604334741}, {""feature"": ""decline_code_bucket"", ""value"": ""CLEAR_SOFT"", ""shap_value"": 0.3970062137823236}, {""feature"": ""ltv_tier"", ""value"": ""low"", ""shap_value"": -0.20123535105966833}, {""feature"": ""customer_tenure_days"", ""value"": 1646, ""shap_value"": 0.20072658241318103}, {""feature"": ""payment_rail"", ""value"": ""card"", ""shap_value"": 0.12216766515157171}]",False,,,,,,retry_now,retry_now,False,,False,logreg_v1_2026-09-02,phase7_v1,retry_now,False,,True,True
case_0022,2026-09-04T11:37:14.391808+00:00,05_do_not_honor,1388.11,0.5192971133768083,"score=0.5193 vs band=[0.3793, 0.4681] (in_band=False); decline_code='05_do_not_honor' (is_ambiguous=True) -> ROUTED to LLM (trigger: ambiguous_code)","[{""feature"": ""issuer_bank_risk_tier"", ""value"": ""medium_risk"", ""shap_value"": 0.2655573382885513}, {""feature"": ""day_of_week"", ""value"": ""thu"", ""shap_value"": -0.1750338202098383}, {""feature"": ""historical_ptp_honor_rate"", ""value"": 0.5860067035812044, ""shap_value"": 0.13121503850580982}, {""feature"": ""time_of_day_bucket"", ""value"": ""night"", ""shap_value"": -0.12883244889996573}, {""feature"": ""ltv_tier"", ""value"": ""high"", ""shap_value"": -0.12749525137163875}]",True,retry_scheduled,0.65,"Features used: issuer_bank_risk_tier, day_of_week, historical_ptp_honor_rate, time_of_day_bucket, ltv_tier. The model identifies issuer_bank_risk_tier (positive SHAP, +0.265) and historical_ptp_honor_rate (positive SHAP, +0.131) as the primary drivers for recovery. Conversely, day_of_week (negative SHAP, -0.175), time_of_day_bucket (negative SHAP, -0.128), and ltv_tier (negative SHAP, -0.127) push against recovery. While ltv_tier is 'high', the negative SHAP contribution suggests the model perceives this specific interaction unfavorably in the current context. Given that this is only the first retry attempt and the bank risk is manageable, a scheduled retry is preferred to bypass the negative temporal factors (day of week/night bucket). The absence of data regarding specific issuer reason codes limits higher confidence.",True,,retry_scheduled,retry_scheduled,False,,False,gemini:gemini-3.1-flash-lite,phase7_v1,retry_now,False,,True,True
